country,country_id,admin1,admin1_id,admin2,admin2_id,admin3,admin3_id
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Khun Tat Wai,Q19969297
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Tha Mo Sai,Q19969298
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Chanong,Q19969299
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Khu,Q19969300
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Khae,Q19969301
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Khlong Pia,Q19969302
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Taling Chan,Q19969303
Chile,Q298,Atacama Region,Q2120,Copiapó Province,Q74292,Tierra Amarilla,Q188142
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,Jivia District,Q2760730
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,Baños District,Q2760756
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,Jesús District,Q2761218
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,Queropalca District,Q2761247
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,Rondos District,Q2761274
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,San Francisco de Asís District,Q2761298
Peru,Q419,Huanuco,Q215221,Lauricocha Province,Q188098,San Miguel de Cauri District,Q2761311
Portugal,Q45,Porto District,Q322792,Marco de Canaveses,Q188050,Vila Boa de Quires e Maureles,Q20059678
South Korea,Q884,Gangwon Province,Q41071,Pyeongchang County,Q188624,Pyeongchang,Q624999
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Paranhos,Q179487
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Alvoco da Serra,Q449532
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Loriga,Q734336
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Travancinha,Q919362
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Cabeça,Q1024799
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Brandoa,Q266202
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Damaia,Q377919
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Reboleira,Q928716
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Buraca,Q1010176
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Alfornelos,Q1021359
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,São Brás,Q1024772
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Falagueira,Q1024775
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Venda Nova,Q1024973
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Venteira,Q1024994
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Mina,Q1894295
Portugal,Q45,Lisbon District,Q207199,Amadora,Q189166,Alfragide,Q1982948
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Carragozela,Q1044862
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,São Martinho,Q1267023
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Sabugueiro,Q1379990
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Santa Marinha,Q1399236
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Folhadosa,Q1435387
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,"Seia, São Romão e Lapa dos Dinheiros",Q17492611
Portugal,Q45,Guarda District,Q273533,Seia,Q76017,Vide e Cabeça,Q19478593
